article_id,similar_images,similarity_scores
108775044,"[756189001, 645022001, 596028004]","[1.0, 1.0, 1.0]"
110065011,"[827907013, 855706003, 743223003]","[1.0, 1.0, 1.0]"
111593001,"[733793001, 854384001, 812375027]","[1.0, 1.0, 1.0]"
111609001,"[575324001, 570190001, 910528002]","[1.0, 1.0, 1.0]"
129085027,"[744117015, 731512007, 804955002]","[1.0, 1.0, 1.0]"
150959013,"[744117015, 731512007, 804955002]","[1.0, 1.0, 1.0]"
153115039,"[670080001, 561067001, 619285004]","[1.0, 1.0, 1.0]"
160442010,"[761162001, 108775044, 757909004]","[1.0, 0.0, 0.0]"
174057032,"[801751001, 523558007, 565202003]","[1.0, 1.0, 1.0]"
176209035,"[733318002, 677561001, 625075004]","[1.0, 1.0, 1.0]"
176754019,"[831644001, 655993001, 758034002]","[1.0, 1.0, 0.0]"
187949031,"[801751001, 523558007, 565202003]","[1.0, 1.0, 1.0]"
188183022,"[733318002, 677561001, 625075004]","[1.0, 1.0, 1.0]"
189616015,"[189616015, 630915001, 696769002]","[1.0, 1.0, 1.0]"
189691033,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
189691051,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
194270044,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
200761022,"[861600002, 547636001, 839824002]","[1.0, 1.0, 1.0]"
201219017,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
203027045,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
203027048,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
211143022,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
215337059,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
219075014,"[744117015, 731512007, 804955002]","[1.0, 1.0, 1.0]"
220094001,"[872000001, 696279001, 811756004]","[1.0, 1.0, 1.0]"
220094010,"[861600002, 547636001, 839824002]","[1.0, 1.0, 1.0]"
220094018,"[801751001, 523558007, 565202003]","[1.0, 1.0, 1.0]"
225784037,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
226959009,"[608416002, 711476002, 683045001]","[1.0, 1.0, 1.0]"
228257001,"[832887002, 716746002, 798890001]","[1.0, 1.0, 1.0]"
233672016,"[796059001, 703775001, 573716013]","[1.0, 1.0, 1.0]"
234432001,"[733793001, 854384001, 812375027]","[1.0, 1.0, 1.0]"
234432002,"[733793001, 854384001, 812375027]","[1.0, 1.0, 1.0]"
237347011,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
237347017,"[733318002, 677561001, 625075004]","[1.0, 1.0, 1.0]"
237347044,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
237347052,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
237347059,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
237347060,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
243937025,"[477515013, 714900001, 621018003]","[1.0, 1.0, 1.0]"
244267017,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
244269018,"[733318002, 677561001, 625075004]","[1.0, 1.0, 1.0]"
247072020,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
249136028,"[744117015, 731512007, 804955002]","[1.0, 1.0, 1.0]"
253176016,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
254303049,"[909955003, 743218001, 615420002]","[1.0, 1.0, 1.0]"
254303057,"[889901002, 840205002, 577033005]","[1.0, 1.0, 1.0]"
254303058,"[254303058, 809841002, 767754004]","[1.0, 1.0, 1.0]"
254457033,"[570579006, 647881002, 830489001]","[1.0, 1.0, 1.0]"
255396006,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
257430030,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
260736030,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
261606001,"[798288004, 355072001, 541286032]","[1.0, 1.0, 1.0]"
266873006,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
266875012,"[870708002, 266875012, 108775044]","[1.0, 1.0, 0.0]"
268450034,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
269342023,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
269342025,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
270375001,"[879545002, 270375001, 270375004]","[1.0, 1.0, 1.0]"
270375004,"[879545002, 270375001, 270375004]","[1.0, 1.0, 1.0]"
270375006,"[879545002, 270375001, 270375004]","[1.0, 1.0, 1.0]"
272591029,"[861600002, 547636001, 839824002]","[1.0, 1.0, 1.0]"
276242025,"[799658001, 824209003, 640252001]","[1.0, 1.0, 1.0]"
283236014,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
283236018,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
287645027,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
287645029,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
288859013,"[798288004, 355072001, 541286032]","[1.0, 1.0, 1.0]"
290519014,"[703575001, 786101002, 290519014]","[1.0, 1.0, 1.0]"
290519017,"[624761002, 834437002, 669999003]","[1.0, 1.0, 1.0]"
291338011,"[624612001, 687176004, 857525004]","[1.0, 1.0, 1.0]"
291338017,"[661399006, 600254001, 902869001]","[1.0, 1.0, 1.0]"
291338026,"[254303058, 809841002, 767754004]","[1.0, 1.0, 1.0]"
291957009,"[741356005, 729928018, 497664024]","[1.0, 1.0, 1.0]"
292453025,"[811756002, 857812006, 801938001]","[1.0, 1.0, 1.0]"
293244002,"[661399006, 600254001, 902869001]","[1.0, 1.0, 1.0]"
293244008,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
293433001,"[661399006, 600254001, 902869001]","[1.0, 1.0, 1.0]"
293433029,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
293433057,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
293510001,"[624761002, 834437002, 669999003]","[1.0, 1.0, 1.0]"
295873004,"[736385016, 760876016, 646767001]","[1.0, 1.0, 1.0]"
296476008,"[514865004, 548986001, 813421004]","[1.0, 1.0, 1.0]"
296476017,"[801751001, 523558007, 565202003]","[1.0, 1.0, 1.0]"
297078008,"[728345001, 638224002, 873660002]","[1.0, 1.0, 1.0]"
299841003,"[909955003, 743218001, 615420002]","[1.0, 1.0, 1.0]"
300024042,"[744117015, 731512007, 804955002]","[1.0, 1.0, 1.0]"
300024064,"[744117015, 731512007, 804955002]","[1.0, 1.0, 1.0]"
300908010,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
304576027,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
304778009,"[477515013, 714900001, 621018003]","[1.0, 1.0, 1.0]"
304946034,"[796059001, 703775001, 573716013]","[1.0, 1.0, 1.0]"
305775031,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
310091038,"[814600001, 587286002, 616977003]","[1.0, 1.0, 1.0]"
310091041,"[733318002, 677561001, 625075004]","[1.0, 1.0, 1.0]"
311059025,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
311059029,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
312829011,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
312878005,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
315509001,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
315987004,"[782575003, 745969001, 834634001]","[1.0, 1.0, 1.0]"
315987005,"[664862002, 315987005, 696526001]","[1.0, 1.0, 1.0]"
316441011,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
316441015,"[686127006, 453272057, 858640004]","[1.0, 1.0, 1.0]"
316471003,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
316657010,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
317055012,"[798288004, 355072001, 541286032]","[1.0, 1.0, 1.0]"
317812001,"[514865004, 548986001, 813421004]","[1.0, 1.0, 1.0]"
318951026,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
319811019,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
322017038,"[108775044, 757964002, 757871001]","[0.0, 0.0, 0.0]"
324963051,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
325027011,"[657188001, 619235002, 556545001]","[1.0, 1.0, 1.0]"
325542018,"[686127006, 453272057, 858640004]","[1.0, 1.0, 1.0]"
326885016,"[744117015, 731512007, 804955002]","[1.0, 1.0, 1.0]"
327144033,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
327144036,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
327144039,"[664862002, 315987005, 696526001]","[1.0, 1.0, 1.0]"
327310002,"[686127006, 453272057, 858640004]","[1.0, 1.0, 1.0]"
327821035,"[189616015, 630915001, 696769002]","[1.0, 1.0, 1.0]"
331474020,"[686127006, 453272057, 858640004]","[1.0, 1.0, 1.0]"
331474027,"[670080001, 561067001, 619285004]","[1.0, 1.0, 1.0]"
333323038,"[609646001, 588588010, 500435120]","[1.0, 1.0, 1.0]"
337777004,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
338016009,"[909955003, 743218001, 615420002]","[1.0, 1.0, 1.0]"
341242009,"[798288004, 355072001, 541286032]","[1.0, 1.0, 1.0]"
341242026,"[796059001, 703775001, 573716013]","[1.0, 1.0, 1.0]"
341782032,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
341909048,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
342034016,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
342034017,"[799658001, 824209003, 640252001]","[1.0, 1.0, 1.0]"
342060001,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
342345026,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
343973011,"[661399006, 600254001, 902869001]","[1.0, 1.0, 1.0]"
344956021,"[840350002, 794221011, 772565024]","[1.0, 1.0, 1.0]"
345830036,"[853006001, 658880001, 754236004]","[1.0, 1.0, 1.0]"
347975001,"[661399006, 600254001, 902869001]","[1.0, 1.0, 1.0]"
347983039,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
348870009,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
349301010,"[622963003, 822359002, 622963013]","[1.0, 1.0, 1.0]"
349301047,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
349669005,"[622097001, 698264001, 757511004]","[1.0, 1.0, 1.0]"
350911012,"[897940001, 632145001, 350911012]","[1.0, 1.0, 1.0]"
351332007,"[552041001, 636809001, 894941002]","[1.0, 1.0, 1.0]"
351771044,"[861600002, 547636001, 839824002]","[1.0, 1.0, 1.0]"
351914044,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
351933046,"[827907013, 855706003, 743223003]","[1.0, 1.0, 1.0]"
354246011,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
354246019,"[733318002, 677561001, 625075004]","[1.0, 1.0, 1.0]"
355072001,"[798288004, 355072001, 541286032]","[1.0, 1.0, 1.0]"
355072031,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
355325001,"[552041001, 636809001, 894941002]","[1.0, 1.0, 1.0]"
356289064,"[686127006, 453272057, 858640004]","[1.0, 1.0, 1.0]"
356289068,"[686127006, 453272057, 858640004]","[1.0, 1.0, 1.0]"
356289075,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
356289076,"[514865004, 548986001, 813421004]","[1.0, 1.0, 1.0]"
356438023,"[805806003, 692783005, 881359001]","[1.0, 1.0, 1.0]"
357130011,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
357130017,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
357792004,"[879545002, 270375001, 270375004]","[1.0, 1.0, 1.0]"
357792008,"[879545002, 270375001, 270375004]","[1.0, 1.0, 1.0]"
358483013,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
361531012,"[733064001, 848307002, 736404001]","[1.0, 1.0, 1.0]"
362997011,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
362997013,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
364297029,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
365025018,"[798288004, 355072001, 541286032]","[1.0, 1.0, 1.0]"
365102042,"[883341001, 749420001, 674586001]","[1.0, 1.0, 1.0]"
366686005,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
366686011,"[561355004, 668012002, 668484004]","[1.0, 1.0, 1.0]"
366859020,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
367372001,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
368038005,"[532224002, 108775044, 757909004]","[1.0, 0.0, 0.0]"
368603035,"[801751001, 523558007, 565202003]","[1.0, 1.0, 1.0]"
368979001,"[189616015, 630915001, 696769002]","[1.0, 1.0, 1.0]"
370594021,"[879545002, 270375001, 270375004]","[1.0, 1.0, 1.0]"
372008011,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
372008012,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
372860024,"[609646001, 588588010, 500435120]","[1.0, 1.0, 1.0]"
372860068,"[372860068, 723529001, 769808001]","[1.0, 1.0, 1.0]"
373506018,"[869095002, 869005001, 733668003]","[1.0, 1.0, 1.0]"
373506019,"[797383001, 888728007, 816919014]","[1.0, 1.0, 1.0]"
373506024,"[797383001, 888728007, 816919014]","[1.0, 1.0, 1.0]"
374762001,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
375248006,"[744117015, 731512007, 804955002]","[1.0, 1.0, 1.0]"
375585001,"[686127006, 453272057, 858640004]","[1.0, 1.0, 1.0]"
377277031,"[798288004, 355072001, 541286032]","[1.0, 1.0, 1.0]"
377277036,"[798288004, 355072001, 541286032]","[1.0, 1.0, 1.0]"
377436007,"[666444001, 616976003, 733749006]","[1.0, 1.0, 1.0]"
378124004,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
378124007,"[607369002, 607145001, 607151001]","[1.0, 1.0, 1.0]"
